title,year_range,genre,rating,one-line,votes,runtime,gross,start_year,end_year,director,actors,genre_action,genre_adventure,genre_animation,genre_biography,genre_comedy,genre_crime,genre_documentary,genre_drama,genre_family,genre_fantasy,genre_film-noir,genre_game-show,genre_history,genre_horror,genre_music,genre_musical,genre_mystery,genre_news,genre_reality-tv,genre_romance,genre_sci-fi,genre_short,genre_sport,genre_talk-show,genre_thriller,genre_war,genre_western
Patton Oswalt: My Weakness Is Strong,2009  ,"documentary,comedy",7.6,"
The critically-acclaimed comedian, actor, writer, and voice of Remy the Rat (the Oscar-winning Ratatouille) takes time out from his many film and television outings to return to the comedy stage for his fourth stand-up special.","1,096",64.0,,2009  ,,Jason Woliner,,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Honor Diaries,2013,"documentary,crime,news",7.8,"
Several Muslim women activists discuss their stories and the state of women's rights in Muslim-majority nations.",230,61.0,,2013,,Micah Smith,"Raheel Raza, 
Raquel Evita Saraswati, 
Juliana Taimoorazy",0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Shelter,2003,drama,6.2,"
Three inner-city teens find themselves stranded in a secluded beach house. In this strange and magical setting, Ray, his brother Spider and the pregnant Maria, set up housekeeping for the ...                See full summary »
",45,80.0,,2003,,Benno Schoberth,"Ray Santiago, 
Marilyn Soto Santiago, 
John Rafael Peralta, 
Alejandro Garcia",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Selfie,,thriller,,"
Explore the horrors of body image in the age of social media.",,,,,,John Poliquin,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Asukô mâchi: Asuka kôgyô kôkô monogatari,2011– ,drama,7.2,"
Nao Yoshino is a girl who fails the entrance exams of her target high school. She winds up enrolling in a technical high school called Kenritsu Asuka Kougyou Koukou, also known by the ...                See full summary »
",63,45.0,,2011,,,"Emi Takei, 
Tôri Matsuzaka, 
Kento Kaku, 
Takuya Ishida",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Untitled Conan/Netflix Project,,"action,adventure,fantasy",,"
Epic live-action based on Conan, the iconic sword-and-sorcery character created by writer Robert E. Howard",,,,,,,,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
David Batra: Elefanten i Rummet,2020  ,comedy,5.9,"
Swedish comedian David Batra gets personal as he playfully details the perks and pitfalls of being married to a recently resigned political leader.",174,77.0,,2020  ,,,,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Art of the Game: Ukiyo-e Heroes,2017,documentary,8.1,"
A Canadian craftsman and an American designer with a father and son generation gap collaborate to revive the ancient Japanese woodcut using pop-culture icons: Mario and Pokémon.",247,97.0,,2017,,Toru Tokikawa,,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Shimmers,,"drama,horror,mystery",,"
A drama series about five teenagers at an isolated school in Northern Thailand. Over a school break, they find themselves haunted by the ghosts of their pasts, only to discover they are threatened by a much more terrifying mystery.",,,,,,,,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
Croaker,2013,horror,7.1,"
Florian Sirko and his one-time love, Macy Patterson face a problem. A curse was originally cast from the attack of Haidamark Cossacks on Nemirov Poland, 1648, spawning a mythological ...                See full summary »
",68,71.0,,2013,,Fred Terling,"Martin Patterson, 
Valerie Gatto, 
Ron Russell, 
Ben Grance",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Stamped from the Beginning: The Definitive History of Racist Ideas in America,,documentary,,"
A hybrid documentary/scripted feature based on Dr. Kendi's National Book Award-winning ""Stamped from the Beginning: The Definitive History of Racist Ideas"".",,,,,,Roger Ross Williams,,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Liss Pereira: Reteniendo Liquidos,2019  ,comedy,6.4,"
Stand up comedy from the Colombian Liss Pereira, about the truths of sex, love, attraction and lies of modern relationships.",86,,,2019  ,,,,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Luciano Mellera: Infantiloide,2018  ,comedy,8.2,"
Argentina's Luciano Mellera emphasizes the humorous and fantastical aspects of childhood through comedic impersonations and insights on daily life.","1,505",66.0,,2018  ,,,,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Samir Abu el-Nil,2013,comedy,4.4,"
A thrifty young man called Sammer who live in popular neighborhood, due to his stinginess, he faces many paradoxes with his neighbors, and they dislike him more and more for his rudeness.",380,109.0,,2013,,Amr Arafa,"Ahmed Mekky, 
Nicole Saba, 
Muhammad Lutfi, 
Hussien El Imam",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Aman Ya Sahbi,2017,"comedy,musical",2.8,"
The film revolves around two singers who live on Mohammed Ali Street with absent financial and social conditions. A friend of theirs suggests that they meet women from well-off families and marry them.",35,79.0,,2017,,Hani Hamdi,"Saad El Soghayar, 
Mahmood El-Laithi, 
Nermin Maher, 
Sofinar",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Moshe Kasher: Live in Oakland,2012,comedy,6.8,"
Oakland-bred comic and best-selling author Moshe Kasher comes back to the Bay Area in this standup special. Back on his home turf, Kasher finds comedy in these uproarious stories about the people he's met -and how they see him",314,61.0,,2012,,Jay Chapman,,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Untitled Kenya Barris/Netflix Project,,documentary,,"
Documentary on high-profile attorney Ben Crump.",,,,,,Nadia Hallgren,,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kinema junjou,2016,comedy,5.0,"
Add a Plot
",7,82.0,,2016,,Noboru Iguchi,"Miko Haruno, 
Yuni Hong, 
Minori Mikado, 
Asaka Nakamura",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
The Chef in a Truck,2020– ,documentary,7.9,"
French pastry Chef François Perret leaves the kitchen of the luxurious Ritz Paris hotel for a two-week culinary journey in a Californian Food Truck. This travel will challenge his ability ...                See full summary »
",8,,,2020,,,"François Perret, 
Dominique Ansel, 
Morgane Broutot, 
Pierre Gagnaire",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Girls Who Like Boys Who Like Boys,2010– ,reality-tv,6.5,"
Chronicles the lives and relationships between gay men and their straight female best friends.",42,,,2010,,,"Rosebud Baker, 
Elisa Casas, 
Joel Derfner, 
Sahil Farooqi",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Mauricio Meirelles comedy special,2020  ,comedy,6.6,"
He's mid-30s going on 79, with scathingly funny views on fatherhood, marriage and society. Let Maurício Meirelles give you a tour of his chaotic mind.",114,63.0,,2020  ,,Diego Pignataro,,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jen Kirkman: Just Keep Livin?,2017  ,comedy,6.7,"
Jen Kirkman jokes about women's bodies, meditation, and a ghostly tour guide in her stand-up routine.","1,216",69.0,,2017  ,,Lance Bangs,,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dans for mig,2012,"documentary,music,sport",6.7,"
DANCE FOR ME is a documentary film about two young and deeply passionate dancers where the ambition of success overshadows everything else.",106,78.0,,2012,,Katrine Philp,"Mie Lincke Funch, 
Egor Kondratenko",0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
Colin Quinn: Unconstitutional,2015  ,comedy,7.2,"
Filmed live in Tarrytown, NY, long-time comedian, Colin Quinn, brings up some excellent points about America's history. Laugh out loud to this stand-up special while learning a thing or two!",434,55.0,,2015  ,,Jay Chapman,,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Como Pop,2019– ,animation,,"
Add a Plot
",,,,2019,,,"Ashley Argota, 
Tyler Shamy",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Velhas Amigas,2018– ,"comedy,drama,romance",8.9,"
Lurdinha, Violeta and Maria Antônia are friends for a long time. All three are the same age, studied in the same school, and live in the same neighborhood, Higienópolis, an icon district of...                See full summary »
",72,30.0,,2018,,,"Alejandra Sampaio, 
Keila Taschini, 
Carla Pagani, 
Aline Neves",0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
The Rain: The End of an Era,2020,"documentary,short",,"
The final season of The Rain feels like the end of an era. Lucas Lynggaard Tønnesen, Alba August, Mikkel Boe Følsgaard and the rest of the cast reflect on their formative years on set and ...                See full summary »
",,26.0,,2020,,Michael Sandager,"Lucas Lynggaard Tønnesen, 
Alba August, 
Mikkel Boe Følsgaard, 
Sonny Lindberg",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2006 Independent Spirit Awards,2006  ,,6.6,"
Add a Plot
",83,109.0,,2006  ,,Chris Donovan,"Sarah Silverman, 
Hany Abu-Assad, 
Amy Adams, 
Shohreh Aghdashloo",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
El Che,2017,"documentary,biography,history",6.3,"
Add a Plot
",7,119.0,,2017,,Matías Gueilburt,"Paco Ignacio Taibo II, 
Horacio López, 
Carlos 'Calica' Ferrer, 
Carlos Soria Galvarro",0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Goddess Girls,,"comedy,family,musical",,"
Athena, your average teenager, finds out she is the daughter of the most powerful Greek god known to mere mortals and he's calling her up to Mt. Olympus to attend Mt. Olympus Academy with her fellow gods and goddesses in training.",,,,,,,,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Forty Acres,,thriller,,"
A civil rights attorney who must fight for survival when he's invited to join an elite Black organization with a mind-blowing secret.",,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
