title,year_range,genre,rating,one-line,votes,runtime,gross,start_year,end_year,director,actors,genre_action,genre_adventure,genre_animation,genre_biography,genre_comedy,genre_crime,genre_documentary,genre_drama,genre_family,genre_fantasy,genre_film-noir,genre_game-show,genre_history,genre_horror,genre_music,genre_musical,genre_mystery,genre_news,genre_reality-tv,genre_romance,genre_sci-fi,genre_short,genre_sport,genre_talk-show,genre_thriller,genre_war,genre_western
Xin shen bang: Ne Zha chong sheng,2021,"animation,action,fantasy",6.9,"
A normal young deliveryman Li Yunxiang, though coming from the slum area, is living a satisfying life but when the arrogant wealthy son of Boss beats him down, his deep anger turns into a blast of Truth Fire.","2,212",118.0,,2021,,Ji Zhao,"Nicole Fong, 
Victoria Grace, 
Jason Ko, 
Dashiell McGaha-Schletter",1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Bom Dia, Verônica",2020– ,"crime,drama,mystery",7.6,"
After witnessing a suicide, an unobtrusive police clerk decides to investigate two neglected cases on her own, both involving abused women.","2,893",49.0,,2020,,,"Tainá Müller, 
Camila Morgado, 
Eduardo Moscovis, 
Antônio Grassi",0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Crime Scene: The Vanishing at the Cecil Hotel,2021,"documentary,crime,mystery",5.9,"
College student and tourist Elisa Lam vanishes, leaving behind all of her possessions in her hotel room. The Cecil Hotel grows in infamy.","15,072",219.0,,2021,,,"Tim Marcia, 
Amy Price, 
Josh Dean, 
Greg Kading",0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
The Night Before, 2015,"comedy,fantasy",6.4,"
On Christmas Eve, three lifelong friends spend the night in New York City looking for the Holy Grail of Christmas parties.","68,503",101.0,$43.04M, 2015,,Jonathan Levine,"Joseph Gordon-Levitt, 
Seth Rogen, 
Jillian Bell, 
Lizzy Caplan",0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
En affære,2018,"drama,thriller",5.5,"
A newly appointed teacher finds herself being followed, and soon discovers that one of her own students is obsessed with her.","1,682",92.0,,2018,,Henrik Martin Dahlsbakken,"Andrea Bræin Hovig, 
Tarjei Sandvik Moe, 
Carsten Bjørnlund, 
Anneke von der Lippe",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
The Bubble,,comedy,,"
Follows a group of actors and actresses stuck inside a pandemic bubble at a hotel attempting to complete a film.",,,,,,Judd Apatow,"Karen Gillan, 
Pedro Pascal, 
Keegan-Michael Key, 
Leslie Mann",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Get Even,2020– ,"crime,drama,thriller",6.5,"
It follows four teenage girls at private elite school who form their own secret society to expose bullies.","1,904",28.0,,2020,,,"Kim Adis, 
Bethany Antonia, 
Jessica Alexander, 
Mia McKenna-Bruce",0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Fi,2017–2018,"drama,romance",7.8,"
The story of those who pursue passion, those who fly at the expense of burning, and those who stand up against life in pain.","9,721",60.0,,2017,2018,,"Ozan Güven, 
Serenay Sarikaya, 
Mehmet Günsür, 
Berrak Tüzünataç",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Coffee & Kareem,2020,"action,comedy,crime",5.1,"
Twelve-year-old Kareem Manning hires a criminal to scare his mom's new boyfriend -police officer James Coffee - but it backfires, forcing Coffee and Kareem to team up in order to save themselves from Detroit's most ruthless drug kingpin.","12,524",88.0,,2020,,Michael Dowse,"Ed Helms, 
Taraji P. Henson, 
Terrence Little Gardenhigh, 
Betty Gilpin",1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
The World of the Married,2020– ,"drama,romance",8.1,"
A story about a married couple whose betrayal of one another leads to a whirlwind of revenge.","1,863",80.0,,2020,,,"Kim Hee-ae, 
Park Hae-joon, 
So-hee Han, 
Kim Young-min",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Looking Glass, 2018,"mystery,thriller",4.6,"
A couple buy a desert motel where they find that strange, mysterious events occur.","6,155",103.0,, 2018,,Tim Hunter,"Nicolas Cage, 
Robin Tunney, 
Marc Blucas, 
Ernie Lively",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
The Debt Collector,2018,"action,comedy",5.8,"
A classically-trained martial artist goes to work as a mob debt collector. The job seems easy enough, until a client drags him into a situation deeper than could ever be anticipated.","6,619",95.0,,2018,,Jesse V. Johnson,"Scott Adkins, 
Louis Mandylor, 
Vladimir Kulich, 
Tony Todd",1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Laggies,2014,"comedy,drama,romance",6.4,"
In the throes of a quarter-life crisis, Megan panics when her boyfriend proposes, then, taking an opportunity to escape for a week, hides out in the home of her new friend, 16-year-old Annika, who lives with her world-weary single dad.","42,740",99.0,$0.44M,2014,,Lynn Shelton,"Keira Knightley, 
Chloë Grace Moretz, 
Sam Rockwell, 
Mark Webber",0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Kôkaku kidôtai: Stand Alone Complex,2002–2005,"animation,action,crime",8.5,"
The futuristic adventures of a female cyborg counter intelligence agent and her support team.","18,383",24.0,,2002,2005,,"Shirô Saitô, 
Mary Elizabeth McGlynn, 
William Frederick Knight, 
Richard Epcar",1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
The Double, 2011,"action,crime,drama",5.9,"
A retired CIA operative is paired with a young FBI agent to unravel the mystery of a senator's murder, with all signs pointing to a Soviet assassin.","29,333",98.0,, 2011,,Michael Brandt,"Richard Gere, 
Topher Grace, 
Martin Sheen, 
Tamer Hassan",1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bo Burnham: what.,2013  ,"comedy,music",8.4,"
A musical stand-up comedy show by Bo Burnham, the famous internet musician.","9,995",60.0,,2013  ,,,,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Nightworld,2017,"horror,thriller",4.4,"
When former LAPD officer Brett Anderson takes a job as head of security at an old apartment building in Bulgaria's capital, Sofia, he soon begins to experience a series of bizarre and ...                See full summary »
","2,155",92.0,,2017,,Patricio Valladares,"Jason London, 
Robert Englund, 
Gianni Capaldi, 
Lorina Kamburova",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
I Am the Pretty Thing That Lives in the House,2016,"drama,horror,mystery",4.6,"
A young nurse takes care of an elderly author who lives in a haunted house.","13,685",89.0,,2016,,Oz Perkins,"Ruth Wilson, 
Paula Prentiss, 
Bob Balaban, 
Lucy Boynton",0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
Tower of God,2020– ,"animation,action,adventure",7.8,"
Reach the top, and everything will be yours. At the top of the tower exists everything in this world, and all of it can be yours.","4,059",23.0,,2020,,,"Matthew David Rudd, 
Johnny Yong Bosch, 
Chris Hackney, 
Cherami Leigh",1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dirty Money,2018– ,"documentary,crime",8.1,"
A Netflix Original Series documenting various stories about exposing the greed, corruption, and crime spreading through the global economy.","8,359",60.0,,2018,,,"Matt Taibbi, 
Alex Gibney, 
Anabel Hernández, 
Fahmi Quadir",0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Love/Hate,2010–2014,"crime,drama",8.5,"
The story of the organized crime scene of Dublin is revealed, centered on Darren, who wants to stay out of trouble but ends up returning to his old habits and his old gang.","6,346",51.0,,2010,2014,,"Tom Vaughan-Lawlor, 
Killian Scott, 
Aoibhinn McGinnity, 
Charlie Murphy",0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pieles,2017,"comedy,drama,fantasy",6.2,"
In a strange world where people share numerous deformities, the same problem we all face challenges each of them: to find someone who accepts you as you are. Sometimes, that means finding yourself first.","5,206",77.0,,2017,,Eduardo Casanova,"Ana Polvorosa, 
Carmen Machi, 
Macarena Gómez, 
Candela Peña",0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Malang - Unleash the Madness,2020,"action,crime,drama",6.5,"
Advait visits Goa where he meets Sara, a free-spirited girl who lives life unshackled. Opposites attract and all goes well until life turns upside down. Years later, Advait is on a killing spree with cops Aghase and Michael in his way.","9,236",135.0,,2020,,Mohit Suri,"Aditya Roy Kapoor, 
Anil Kapoor, 
Disha Patani, 
Kunal Khemu",1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Seulgirowun Gamppangsaenghwal,2017–2018,"comedy,drama",8.4,"
Baseball pitcher Kim Je-hyeok becomes a convict overnight after being sent to prison for defending his sister from a sexual assault, days before he was due to fly to the US to join the Boston Red Sox.","2,163",90.0,,2017,2018,,"Hae-soo Park, 
Jung Kyung-ho, 
Krystal Jung, 
Kyoo-hyung Lee",0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dolly Parton's Heartstrings,2019– ,"comedy,drama,music",7.6,"
8 of singer/songwriter Dolly Parton's most famous songs are brought to life in 8 different episodes.","1,920",62.0,,2019,,,"Dolly Parton, 
Delta Burke, 
Julianne Hough, 
Melissa Leo",0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Kagittan Hayatlar,2021,drama,6.7,"
Mehmet is a cherished fellow who runs the solid waste warehouse in the neighborhood, he helps everyone in need, especially homeless children and teenagers since he was one too.","10,210",96.0,,2021,,Can Ulkay,"Çagatay Ulusoy, 
Emir Ali Dogrul, 
Ersin Arici, 
Turgay Tanülkü",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mark Felt: The Man Who Brought Down the White House,2017,"biography,drama,history",6.4,"
The story of Mark Felt, who under the name ""Deep Throat"" helped journalists Bob Woodward and Carl Bernstein uncover the Watergate scandal in 1972.","12,491",103.0,$0.77M,2017,,Peter Landesman,"Liam Neeson, 
Diane Lane, 
Marton Csokas, 
Tony Goldwyn",0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Forces spéciales,2011,"action,drama,war",6.4,"
A French journalist in Afghanistan is kidnapped by the Taliban.","18,275",109.0,$0.01M,2011,,Stéphane Rybojad,"Diane Kruger, 
Djimon Hounsou, 
Benoît Magimel, 
Denis Ménochet",1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Death Warrant,1990,"action,crime,mystery",5.7,"
In a violent and corrupt prison, decorated cop Louis Burke must infiltrate the jail to find answers to a number of inside murders. What he finds is a struggle of life and death tied in to his own past.","17,926",89.0,$16.85M,1990,,Deran Sarafian,"Jean-Claude Van Damme, 
Robert Guillaume, 
Cynthia Gibb, 
George Dickerson",1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Eden, 2021– ,"animation,action,adventure",6.6,"
A human girl secretly raised by robots starts to uncover the dark secrets behind her lush, utopian world where humanity has all but vanished.",821,25.0,, 2021,,,"Marika Kôno, 
Kentarô Itô, 
Kyôko Hikami, 
Tarusuke Shingaki",1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Beyond a Reasonable Doubt,2009,"crime,drama,mystery",5.9,"
Remake of the 1956 film noir film ""Beyond a Reasonable Doubt"" in which a writer's plan to expose a corrupt district attorney takes an unexpected turn.","12,570",106.0,$0.03M,2009,,Peter Hyams,"Jesse Metcalfe, 
Amber Tamblyn, 
Michael Douglas, 
Joel David Moore",0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
1983,2018,"crime,drama,thriller",6.8,"
Decades after a 1983 terrorist attack, a law student and a cop uncover a conspiracy that's kept Poland as a police state and the Iron Curtain standing.","3,882",60.0,,2018,,,"Robert Wieckiewicz, 
Maciej Musial, 
Michalina Olszanska, 
Andrzej Chyra",0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Ergo Proxy,2006,"animation,action,adventure",8.0,"
In a post-apocalyptic future humans live in peace with androids in a domed city. However, a strange series of murders has intruded into bored inspector Re-l Mayer's life.","13,098",25.0,,2006,,,"Kôji Yusa, 
Akiko Yajima, 
Rachel Hirschfeld, 
Liam O'Brien",1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
The Flemish Bandits,2018–2020,"adventure,drama,history",6.8,"
An eighteenth century bandit becomes a local hero.","2,114",45.0,,2018,2020,,"Matteo Simoni, 
Stef Aerts, 
Jeroen Perceval, 
Dirk Roofthooft",0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
La belva,2020,"action,crime,drama",5.2,"
An unstable veteran tries to rescue his kidnapped daughter and unleashes the beast within himself during his quest. He quickly becomes suspected himself.","3,858",97.0,,2020,,Ludovico Di Martino,"Fabrizio Gifuni, 
Lino Musella, 
Monica Piseddu, 
Andrea Pennacchi",1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Disparu à jamais,2021,"crime,drama,mystery",,"
Guillaume thought he had drawn a line under the terrible tragedy which saw the two people he loved the most die. Ten years later, Judith, whose love has made his life worth living again, suddenly disappears during his mother's funeral.",,,,2021,,,"Bojesse Christopher, 
Grégoire Colin, 
Nicolas Duvauchelle, 
Guillaume Gouix",0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Sun Dogs,2017,"comedy,drama",6.3,"
Ned is a kid who wants to be in the marines however, he has a disability which prevents him. Bob Garrity, his step dad is stuck in. Lawsuit and can't do anything physical.","2,065",94.0,,2017,,Jennifer Morrison,"Jennifer Morrison, 
J.R. Ramirez, 
Melissa Benoist, 
Allison Janney",0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
The Real Housewives of Atlanta,2008– ,reality-tv,4.4,"
A reality television series focused on the personal and professional lives of several women residing in Atlanta, Georgia.","3,413",44.0,,2008,,,"Kandi Burruss, 
Cynthia Bailey, 
NeNe Leakes, 
Kenya Moore",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Alhambeura Goongjeonui Chooeok,2018–2019,"drama,romance,sci-fi",7.8,"
After suffering a setback following a friend's betrayal Yoo Jin Woo travels to Spain on a business. There, he stays at an old hostel owned by a former classical guitarist Jung Hee Joo. The two get entangled in a mysterious incident.","4,367",60.0,,2018,2019,,"Park Shin-Hye, 
Hyun Bin, 
Jin-Woong Min, 
Park Hoon",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
Breaking Boundaries: The Science of Our Planet,2021,documentary,7.8,"
David Attenborough and scientist Johan Rockström examine Earth's biodiversity collapse and how this crisis can still be averted.","1,462",73.0,,2021,,Jon Clay,"David Attenborough, 
Elena Bennett, 
Jason Box, 
Terry Hughes",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lenox Hill,2020,documentary,8.7,"
An intimate look at the lives of four doctors - two brain surgeons, an emergency room physician, and a Chief Resident OBGYN - as they navigate the highs and lows of working at the renowned Lenox Hill Hospital in New York City.","2,044",,,2020,,,"John Boockvar, 
David Langer, 
Amanda Little-Richardson, 
Mirtha Macri",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Leave the World Behind,,drama,,"
Family drama based on the upcoming novel by Rumaan Alam.",,,,,,Sam Esmail,"Denzel Washington, 
Julia Roberts",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6 Years,2015,"drama,romance",5.6,"
A young couple, bound by a seemingly ideal love, begin to unravel as unexpected opportunities spin them down a volatile and violent path and threaten the future they had always imagined.","12,049",79.0,,2015,,Hannah Fidell,"Taissa Farmiga, 
Ben Rosenfield, 
Lindsay Burdge, 
Joshua Leonard",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
#BlackAF,2020,comedy,6.8,"
A father takes an irreverent and honest approach to parenting and relationships.","4,200",36.0,,2020,,,"Rashida Jones, 
Kenya Barris, 
Iman Benson, 
Genneya Walton",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bulbbul,2020,"drama,horror,mystery",6.6,"
A man returns home after years to find his brother's child bride now grown up and abandoned, and his ancestral village plagued by mysterious deaths.","10,484",94.0,,2020,,Anvita Dutt,"Tripti Dimri, 
Avinash Tiwary, 
Rahul Bose, 
Parambrata Chattopadhyay",0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
Slugterra,2012–2016,"animation,action,comedy",6.5,"
Eli Shane is determined to be the greatest Slugslinging hero of them all! Only by collecting, training and dueling with little critters called SLUGS can Eli and his team hope to defeat the ...                See full summary »
","1,209",22.0,,2012,2016,,"Lee Tockar, 
Sam Vincent, 
Andrew Francis, 
Shannon Chan-Kent",1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
The Warrior's Way,2010,"action,fantasy,western",6.3,"
A warrior-assassin is forced to hide in a small town in the American Badlands after refusing a mission.","25,758",100.0,$5.66M,2010,,Sngmoo Lee,"Jang Dong-Gun, 
Kate Bosworth, 
Geoffrey Rush, 
Danny Huston",1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Power Rangers Ninja Steel,2017–2018,"action,adventure,drama",5.9,"
A new team of superhuman power rangers must work together and use their new ninja powers to prevent evil from dominating the human race and from destroying the planet earth and the universe",758,21.0,,2017,2018,,"William Shewfelt, 
Nico Greetham, 
Zoë Robins, 
Peter Adrian Sudarso",1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Goo-hae-jwo,2017–2019,"mystery,thriller",8.1,"
A young girl coming to a small town with her family. And through tragic events getting involved with a religious cult.","1,046",60.0,,2017,2019,,"Jo Jae-yoon, 
Ho-jin Chun, 
Tae-goo Eom, 
Esom",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
Rurouni Kenshin: Meiji Kenkaku Romantan: Tsuioku Hen,1999,"animation,action,adventure",8.6,"
In the era of Japan's Meiji Restoration, an assassin regains his humanity.","13,766",118.0,,1999,,,"Mayo Suzukaze, 
Junko Iwao, 
Nozomu Sasaki, 
Masami Suzuki",1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Conversations with a Killer: The Ted Bundy Tapes,2019,"documentary,biography,crime",7.8,"
A look inside the mind of serial killer Ted Bundy, featuring interviews with him on death row.","25,740",236.0,,2019,,,"Stephen Michaud, 
Bob Keppel, 
Kathleen McChesney, 
Ward Lucas",0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sharknado 4: The 4th Awakens,2016  ,"action,adventure,comedy",3.9,"
Fin, his family and the cosmos have been blissfully sharknado-free in the five years since the most recent attack, but now sharks and tornadoes are being whipped up in unexpected ways and places.","7,719",95.0,,2016  ,,Anthony C. Ferrante,"Ian Ziering, 
Tara Reid, 
Masiela Lusha, 
Cody Linley",1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bolívar: Una lucha admirable,2019,"action,biography,drama",7.5,"
Depicts the life and loves of Venezuelan Gen. Simón Bolívar, who helped liberate several Latin American countries from Spain.",668,52.0,,2019,,,"Luis Gerónimo Abreu, 
Carlos Aguilar, 
Nohely Arteaga, 
Amparo Conde",1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Creeped Out,2017–2019,"drama,family,fantasy",6.6,"
Creeped Out is a series of spellbinding, enchanting and intriguing tales. Each episode is a different story set in a different place and time, with different characters exploring their way through the unexplained.","1,562",30.0,,2017,2019,,"Victoria Diamond, 
William Romain, 
Jaiden Cannatelli, 
Lukas Engel",0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
The Machine, 2013,"action,drama,sci-fi",6.1,"
In efforts to construct perfect android killing machines in a war against China, UK scientists exceed their goal and create a sentient robot.","30,553",91.0,, 2013,,Caradog W. James,"Toby Stephens, 
Caity Lotz, 
Denis Lawson, 
Sam Hazeldine",1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Frequency,2016–2017,"drama,fantasy,mystery",7.5,"
A police detective in 2016 discovers that she is able to communicate with her father via a ham radio, despite the fact that he died in 1996.","13,090",42.0,,2016,2017,,"Peyton List, 
Riley Smith, 
Devin Kelley, 
Mekhi Phifer",0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Taineun Jiokida,2019,"crime,horror,mystery",7.9,"
Unpleasant events disturb the life of an aspiring crime fiction writer when he becomes a resident of an apartment building teeming with shady neighbors.","2,423",60.0,,2019,,,"Si-wan Yim, 
Lee Dong-Wook, 
Rae-Hyung Cha, 
Lee Jeong-eun",0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
Unicorn Store,2017,"comedy,drama,fantasy",5.5,"
Kit, a twenty-something dreamer, receives an invitation that would fulfill her childhood dreams.","18,304",92.0,,2017,,Brie Larson,"Brie Larson, 
Samuel L. Jackson, 
Joan Cusack, 
Bradley Whitford",0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lazzaro felice,2018,"drama,fantasy,mystery",7.5,"
An unceasingly kind Italian peasant and his family are blatantly exploited by a tobacco baroness.","16,536",128.0,,2018,,Alice Rohrwacher,"Adriano Tardiolo, 
Agnese Graziani, 
Alba Rohrwacher, 
Luca Chikovani",0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Hwayugi,2017–2018,"comedy,fantasy,horror",8.1,"
In 2017, Son Oh Gong and Ma Wang are in conflict with each other and they look for a true light in a dark world where evils exists everywhere.","3,664",75.0,,2017,2018,,"Lee Seung-gi, 
Seung-Won Cha, 
Yeon-Seo Oh, 
Hong-ki Lee",0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
The Debt Collector 2,2020,"action,comedy",5.8,"
A pair of debt collectors are thrust into an explosively dangerous situation, chasing down various lowlifes while also evading a vengeful kingpin. -Samuel Goldwyn Films-","3,581",97.0,,2020,,Jesse V. Johnson,"Scott Adkins, 
Louis Mandylor, 
Vladimir Kulich, 
Marina Sirtis",1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Trigun,1998,"animation,action,adventure",8.3,"
Vash the Stampede is the most infamous outlaw on the planet Gunsmoke and with a 60 billion double dollar price on his head the most sought after!","20,026",24.0,,1998,,,"Masaya Onosaka, 
Hiromi Tsuru, 
Satsuki Yukino, 
Johnny Yong Bosch",1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sonic Prime,2022– ,"animation,action,adventure",,"
Sonic in a high-octane adventure where the fate of a strange new multiverse rests in his gloved hands.",,,,2022,,,,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Strangers,,comedy,,"
Drea and Eleanor agree to go after one another's bullies.",,,,,,Jennifer Kaytin Robinson,"Camila Mendes, 
Maya Hawke, 
Rish Shah, 
Talia Ryder",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Monsoon,2019,"drama,history,romance",6.0,"
Kit, a British man of Vietnamese heritage, returns to Saigon for the first time in over 30 years after leaving the country with his parents, when he was six years old, at the end of the Vietnam War.","1,621",85.0,,2019,,Hong Khaou,"Henry Golding, 
William Do, 
David Tran, 
Lam Anh Dao",0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
La noche de 12 años,2018,"biography,crime,drama",7.5,"
1973. Uruguay is governed by a military dictatorship. One autumn night, three Tupamaro prisoners are taken from their jail cells in a secret military operation. The order is precise: ""As we...                See full summary »
","9,150",122.0,,2018,,Álvaro Brechner,"Antonio de la Torre, 
Chino Darín, 
Alfonso Tort, 
César Troncoso",0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Charité,2017– ,"drama,history",7.9,"
The series describes the accomplishments of several famous German physicians and scientists at the prestigious Charité hospital in Berlin during its history.","2,873",45.0,,2017,,,"Alicia von Rittberg, 
Mala Emde, 
Nina Gummich, 
Maximilian Meyer-Bretschneider",0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2gether,2020,"comedy,drama,romance",7.9,"
A student named Tine wants to get rid of a gay admirer. His friends recommend getting a pretend boyfriend, Sarawat, who plays hard to get until he finally agrees. The two become close and intense emotions soon erupted.","1,276",50.0,,2020,,,"Vachirawit Chivaaree, 
Metawin Opas-Iamkajorn, 
Chinnarat Siriphongchawalit, 
Sivakorn Lertchoochot",0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Luna Nera,2020– ,"drama,fantasy,thriller",5.6,"
A group of women are suspected of witchcraft in 17th century Italy.","2,533",43.0,,2020,,,"Antonia Fotaras, 
Giorgio Belli, 
Gloria Carovana, 
Giandomenico Cupaiuolo",0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Security, 2017,"action,crime,thriller",5.7,"
A security guard protects an eleven year-old girl who is being targeted by a gang for participating as a trial witness.","16,390",88.0,, 2017,,Alain Desrochers,"Antonio Banderas, 
Ben Kingsley, 
Liam McIntyre, 
Cung Le",1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
A Madea Homecoming,2022,comedy,,"
Multi-hyphenate media mogul Tyler Perry brings out his beloved character Madea.",,,,2022,,Tyler Perry,"Tyler Perry, 
Gabrielle Dennis, 
Brendan O'Carroll, 
Cassi Davis",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
